CITY,1-Family,2-Family,3-Family,4-Family,5+ Family,OWNER,RENTER,SHAPE_AREA,distance,Electric MWh,Threm,Electric Municipal,Gas Municipal,Gas,<20K,20K-39K,40K-59K,60K-74K,75K-99K,>100K,Spanish Speaker,Black,Latino or Hispanic
ABINGTON,2726.0,1795.0,83.0,,35.0,3847.0,783.0,26390847.0697,11.695356940075673,52684.0,2482657.0,False,False,True,8.12,11.24,12.51,9.42,12.93,,1.36,1.6,2.08
ACTON,2650.0,3019.0,,,34.0,4512.0,1172.0,52564532.7925,23.558311616079397,68555.0,4728904.0,False,False,True,8.37,6.77,6.83,5.04,8.04,64.94,1.89,1.55,3.15
ACUSHNET,2650.0,615.0,,,,228.0,3037.0,48893374.48890001,20.139770298644063,29835.0,1584515.0,False,False,True,9.87,18.46,11.9,12.05,10.1,,1.78,0.08,3.37
ADAMS,1002.0,,,,,846.0,155.0,59466489.58870001,139.51426909771087,22684.0,2007164.0,False,False,True,17.36,22.43,18.2,12.01,8.85,21.15,1.18,0.66,1.08
AGAWAM,7054.0,1638.0,,25.0,,7533.0,1118.0,63021907.25929999,106.6154928320523,103237.0,5726941.0,False,False,True,12.35,15.29,17.53,10.17,11.94,32.72,3.78,1.72,5.49
ALFORD,145.0,,,,,64.0,81.0,29871126.073,160.72633164864826,3674.0,,False,False,False,,,7.85,,,,0.99,0.0,3.56
AMESBURY,1867.0,2407.0,72.0,50.0,617.0,3858.0,1154.0,35547168.4003,16.442717517357814,49632.0,3847494.0,False,False,True,9.62,12.82,11.47,12.8,13.13,40.16,1.11,0.79,2.71
AMHERST,2010.0,1293.0,78.0,,73.0,2565.0,889.0,71882639.8809,97.15418790395043,67387.0,1577871.0,False,False,True,23.43,20.5,9.32,5.39,11.56,29.8,4.38,5.77,6.92
ANDOVER,3659.0,4187.0,,,,7353.0,493.0,83274583.62249999,7.921972528309169,114427.0,9174587.0,False,False,True,5.97,6.78,8.5,5.72,8.31,64.73,2.56,2.73,4.39
AQUINNAH,223.0,20.0,,,,20.0,222.0,14961880.7814,30.713092008694296,3223.0,,False,False,False,,,,3.73,,,0.0,0.2,
ARLINGTON,3880.0,2704.0,,72.0,11.0,5182.0,1485.0,14203937.827299997,4.661131155538904,107141.0,11807332.0,False,False,True,8.46,10.12,9.27,6.58,11.82,53.75,3.15,2.63,5.06
ASHBURNHAM,1398.0,586.0,,,30.0,906.0,1108.0,106063702.02699998,57.42598989914787,,,True,False,False,2.39,,10.81,10.06,,,0.43,0.94,1.3
ASHBY,453.0,,,,,190.0,263.0,62348961.12110001,49.751461211081434,8902.0,116090.0,False,False,True,3.78,9.28,7.39,14.68,13.15,,0.9,0.22,3.27
ASHFIELD,537.0,99.0,,,,228.0,408.0,104229566.88,117.6239918729424,5551.0,,False,False,False,6.67,13.78,,14.37,16.59,,0.68,0.13,2.27
ASHLAND,1781.0,,,,,1543.0,237.0,33342677.447,25.0458948673677,53800.0,4566986.0,False,False,True,7.36,8.45,7.49,10.67,8.69,,5.16,2.53,7.06
ATHOL,2543.0,1022.0,60.0,69.0,15.0,2861.0,847.0,86408829.49030001,77.83942582163114,37891.0,,False,False,False,18.68,17.14,17.7,11.21,10.97,24.3,3.17,0.51,4.69
ATTLEBORO,6720.0,3715.0,,,759.0,9080.0,2031.0,71925427.5328,16.59309951552925,133275.0,5849193.0,False,False,True,12.34,14.44,13.11,10.61,12.84,36.66,5.5,2.86,7.21
AUBURN,4047.0,1481.0,29.0,3.0,17.0,4992.0,581.0,42512969.9851,50.903815732029294,56436.0,869215.0,False,False,True,9.95,14.59,11.57,10.08,14.18,39.63,2.23,1.37,4.49
AVON,880.0,286.0,,,2.0,1034.0,134.0,11754175.971100003,6.737063668601529,14058.0,798980.0,False,False,True,,12.58,,10.62,9.92,,4.25,13.19,5.18
AYER,1097.0,,,,,851.0,246.0,24613334.652600005,32.62678377843301,24830.0,1329615.0,False,False,True,10.33,5.78,,12.14,12.74,,1.96,3.34,5.72
BARNSTABLE,19434.0,2623.0,,,42.0,8443.0,13656.0,162220373.694,54.52655679477853,196447.0,18361291.0,False,False,True,12.12,15.68,14.25,13.27,12.91,31.77,4.2,4.84,5.04
BARRE,1217.0,435.0,17.0,21.0,1.0,1379.0,312.0,115592161.948,69.507032442725,17336.0,,False,False,False,7.29,,,,,,0.75,2.08,1.61
BECKET,333.0,,,,,117.0,214.0,123781626.304,137.2555692881824,11447.0,,False,False,False,6.41,18.0,,8.51,18.87,,1.69,1.61,5.54
BEDFORD,2244.0,1053.0,,2.0,5.0,2612.0,692.0,35840949.7263,12.250965343445378,42860.0,4004514.0,False,False,True,5.3,6.85,9.73,6.44,12.94,,1.83,3.62,3.55
BELCHERTOWN,3226.0,1299.0,,,73.0,3654.0,944.0,143164004.888,90.34634461902112,50901.0,,False,False,False,7.31,11.82,9.99,7.67,17.74,,0.72,0.57,1.39
BELLINGHAM,3649.0,1194.0,,,,4368.0,475.0,48919135.19930001,26.314886011365452,52419.0,1476416.0,False,False,True,6.03,12.04,10.23,8.35,13.65,,2.3,1.58,2.67
BELMONT,2616.0,4156.0,,,9.0,3529.0,3251.0,12218653.779,4.7491360870116885,,8150150.0,True,False,True,7.81,7.13,11.11,7.19,11.06,55.7,4.12,1.42,5.03
BERKLEY,740.0,,,,,592.0,148.0,42944099.925,11.848825836288045,,,True,False,True,2.78,9.05,,,,,0.28,0.09,0.07
BERLIN,556.0,470.0,,,22.0,840.0,206.0,34117527.3721,36.396152732866156,11811.0,112724.0,False,False,True,5.07,14.93,7.91,9.42,11.47,,0.36,0.54,0.7
BERNARDSTON,203.0,,,,,127.0,76.0,60650566.5554,100.21838400481107,7938.0,,False,False,False,10.13,,,16.5,8.87,,0.25,0.15,0.0
BEVERLY,4154.0,3656.0,309.0,214.0,3.0,6402.0,1934.0,39915208.4748,16.823257582606253,108722.0,7447648.0,False,False,True,13.52,13.81,13.09,6.83,12.68,40.07,3.06,1.68,4.48
BILLERICA,8031.0,2901.0,,21.0,,7928.0,3024.0,68158855.1548,11.688842017982735,118277.0,9391868.0,False,False,True,6.34,9.53,11.1,8.21,12.22,52.6,3.15,3.26,4.05
BLACKSTONE,1417.0,964.0,50.0,37.0,17.0,2156.0,323.0,29603901.48,29.95332627970019,26690.0,,False,False,True,6.77,12.84,15.14,8.58,12.69,,1.72,1.85,2.8
BLANDFORD,288.0,93.0,,,,116.0,265.0,138409560.242,127.3580204459011,4803.0,,False,False,False,5.56,,11.51,,14.48,,0.0,0.0,0.76
BOLTON,999.0,,,,,839.0,160.0,52003960.66279999,34.55203900889514,21234.0,,False,False,True,4.23,5.9,5.3,7.69,7.75,,0.45,0.31,1.87
BOSTON,32736.0,25047.0,277.0,2928.0,33505.0,26708.0,67766.0,129519997.542,2.8764315329636276,1331961.0,117103690.0,False,False,True,21.72,13.41,11.57,7.78,10.02,35.5,16.85,22.72,19.71
BOURNE,5489.0,1772.0,,,31.0,2461.0,4831.0,106404912.496,38.20403924957619,67462.0,5566853.0,False,False,True,7.32,17.95,14.86,10.2,14.91,34.76,3.11,1.88,3.86
BOXBOROUGH,1040.0,764.0,,4.0,,1215.0,593.0,26951584.4099,28.71306890922493,,582002.0,True,False,True,5.13,7.11,14.05,9.99,11.8,,2.72,0.78,3.66
