CITY,Population
MAYNARD,11336
FOXBOROUGH,18399
LINCOLN,7052
HINGHAM,24679
FRANKLIN,34087
NORTH READING,15865
WESTFORD,24817
FRAMINGHAM,74416
NANTUCKET,11399
WESTWOOD,16400
MANSFIELD,24470
SHREWSBURY,38526
WESTMINSTER,7997
HOPKINTON,18470
NORWOOD,29725
READING,25400
PLYMOUTH,61528
RUTLAND,8938
MIDDLEBOROUGH,25463
LAKEVILLE,11561
DOUGLAS,9038
MIDDLEFIELD,534
HUBBARDSTON,4829
BOLTON,5426
TYNGSBOROUGH,12527
KINGSTON,13863
AVON,4549
UXBRIDGE,14195
ROCHESTER,5687
LUNENBURG,11736
REHOBOTH,12385
MENDON,6223
CANTON,23805
NORFOLK,12003
ABINGTON,16668
UPTON,8065
BERLIN,3240
SWANSEA,16834
WEST NEWBURY,4714
BERKLEY,6851
BOYLSTON,4712
DIGHTON,7967
AYER,8196
SALISBURY,9534
RAYNHAM,14470
MARION,5188
EASTHAM,4906
BELLINGHAM,17270
CAMBRIDGE,118927
SWAMPSCOTT,15298
BRIDGEWATER,27619
ROWLEY,6473
STOW,7234
WRENTHAM,12023
MILLIS,8310
ESSEX,3799
GREAT BARRINGTON,6945
MILLBURY,13947
SOUTHBOROUGH,10208
TOPSFIELD,6641
DOVER,6127
MEDFIELD,12955
CHELMSFORD,35391
NEEDHAM,31388
PLAINVILLE,9293
NEWBURYPORT,18289
SUDBURY,19655
MEDWAY,13479
MIDDLETON,10110
SUTTON,9582
SAUGUS,28361
AMHERST,39924
SCITUATE,18924
WEYMOUTH,57746
MANCHESTER-BY-THE-SEA,5434
PRINCETON,3488
CARLISLE,5252
NEW SALEM,1021
CHARLTON,13713
HOLDEN,19303
LITTLETON,10227
ACUSHNET,10625
SEEKONK,15770
GLOUCESTER,30430
GROVELAND,6849
WEST BOYLSTON,8077
NEWBURY,7148
HAWLEY,334
DUNSTABLE,3403
HANOVER,14570
METHUEN,50706
ROCKPORT,7282
HOLLISTON,14912
WATERTOWN,35939
HARVARD,6620
EDGARTOWN,4348
MATTAPOISETT,6401
WALPOLE,25200
WAREHAM,22745
ROYALSTON,1277
SHERBORN,4335
HADLEY,5342
COHASSET,8548
WEST BRIDGEWATER,7281
WESTPORT,16034
WHITMAN,15216
BOSTON,692600
PEMBROKE,18509
ANDOVER,36356
MASHPEE,14229
WINCHENDON,10905
TAUNTON,57464
MILFORD,29101
NORWELL,11153
ATTLEBORO,45237
HARDWICK,3057
PAXTON,4963
IPSWICH,14074
HANSON,10914
GRAFTON,18883
DARTMOUTH,34188
HALIFAX,7896
TRURO,2008
LANCASTER,8082
BELCHERTOWN,15098
BARRE,5578
NORTH ATTLEBOROUGH,29364
HAVERHILL,64014
MARSHFIELD,25967
ASHBURNHAM,6348
AMESBURY,17532
WESTHAMPTON,1637
WENHAM,5278
EAST BRIDGEWATER,14526
WEST TISBURY,2904
GEORGETOWN,8768
ARLINGTON,45531
WILMINGTON,23445
STERLING,8174
QUINCY,94470
NORTON,19948
GARDNER,20683
NORTHBOROUGH,15109
CLINTON,14000
FREETOWN,9394
STOUGHTON,28915
EASTON,25105
BRIMFIELD,3680
DRACUT,31634
DUXBURY,15921
DANVERS,27549
WESTBOROUGH,19144
SOMERVILLE,81360
MILTON,27593
CHILMARK,922
MERRIMAC,6960
WHATELY,1567
TOLLAND,508
CUMMINGTON,874
WESTON,12124
HULL,10475
BROOKFIELD,3452
NEW BRAINTREE,1024
OAKHAM,1957
TEMPLETON,8138
WINCHESTER,22799
NEW BEDFORD,95363
STURBRIDGE,9597
AUBURN,16766
RANDOLPH,34362
LYNNFIELD,12999
BROCKTON,95708
HOLBROOK,11033
ASHLAND,17807
LEOMINSTER,41716
WAKEFIELD,27045
